source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
rtl,H  ,0,8,0,8,H  ,0.750000,0.031250,0.000000
rtl,H  ,0,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,0,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,8,0,8,H  ,0.750000,-0.093750,0.062500
rtl,H  ,1,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,8,0,8,H  ,0.750000,0.093750,0.187500
rtl,H  ,2,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,8,0,8,H  ,0.750000,-0.031250,0.062500
rtl,H  ,3,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,8,0,8,H  ,0.750000,0.093750,0.125000
rtl,H  ,4,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,8,0,8,H  ,0.750000,0.031250,0.250000
rtl,H  ,5,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,8,0,8,H  ,0.750000,0.156250,0.062500
rtl,H  ,6,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,8,0,8,H  ,0.750000,0.218750,0.187500
rtl,H  ,7,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,8,0,8,H  ,0.750000,0.031250,0.125000
rtl,H  ,8,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,8,0,8,H  ,0.750000,0.031250,0.250000
rtl,H  ,9,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,8,0,8,H  ,0.750000,-0.031250,0.250000
rtl,H  ,10,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,8,0,8,H  ,0.750000,-0.031250,0.312500
rtl,H  ,11,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,8,0,8,H  ,0.750000,0.031250,0.187500
rtl,H  ,12,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,8,0,8,H  ,0.750000,0.218750,0.187500
rtl,H  ,13,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,8,0,8,H  ,0.750000,0.093750,0.250000
rtl,H  ,14,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,8,0,8,H  ,0.750000,0.093750,0.125000
rtl,H  ,15,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,8,0,8,H  ,0.750000,-0.093750,0.187500
rtl,H  ,16,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,8,0,8,H  ,0.750000,-0.093750,0.250000
rtl,H  ,17,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,8,0,8,H  ,0.750000,-0.031250,0.125000
rtl,H  ,18,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,8,0,8,H  ,0.750000,-0.031250,0.125000
rtl,H  ,19,8,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,8,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,0,13,0,13,H  ,0.593750,-0.062500,0.156250
rtl,H  ,0,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,0,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,13,0,13,H  ,0.593750,0.125000,0.156250
rtl,H  ,1,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,1,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,13,0,13,H  ,0.593750,0.125000,0.218750
rtl,H  ,2,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,2,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,13,0,13,H  ,0.593750,-0.062500,0.031250
rtl,H  ,3,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,3,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,13,0,13,H  ,0.593750,0.062500,-0.031250
rtl,H  ,4,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,4,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,13,0,13,H  ,0.593750,-0.187500,0.156250
rtl,H  ,5,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,5,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,13,0,13,H  ,0.593750,0.250000,0.156250
rtl,H  ,6,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,6,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,13,0,13,H  ,0.593750,0.062500,0.281250
rtl,H  ,7,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,7,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,13,0,13,H  ,0.593750,-0.125000,0.093750
rtl,H  ,8,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,8,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,13,0,13,H  ,0.593750,0.000000,-0.093750
rtl,H  ,9,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,9,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,13,0,13,H  ,0.593750,0.000000,0.093750
rtl,H  ,10,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,10,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,13,0,13,H  ,0.593750,0.187500,0.093750
rtl,H  ,11,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,11,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,13,0,13,H  ,0.593750,-0.125000,0.031250
rtl,H  ,12,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,12,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,13,0,13,H  ,0.593750,0.062500,0.093750
rtl,H  ,13,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,13,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,13,0,13,H  ,0.593750,-0.187500,0.093750
rtl,H  ,14,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,14,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,13,0,13,H  ,0.593750,0.062500,0.281250
rtl,H  ,15,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,15,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,13,0,13,H  ,0.593750,0.000000,0.093750
rtl,H  ,16,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,16,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,13,0,13,H  ,0.593750,-0.062500,-0.093750
rtl,H  ,17,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,17,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,13,0,13,H  ,0.593750,0.125000,0.218750
rtl,H  ,18,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,18,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,13,0,13,H  ,0.593750,-0.125000,0.093750
rtl,H  ,19,13,1,0,H  ,1.000000,0.031250,0.187500
rtl,H  ,19,13,2,0,H  ,1.000000,0.031250,0.187500
rtl,T  ,0,8,0,8,T  ,0.093750,0.750000,0.156250
rtl,T  ,0,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,0,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,8,0,8,T  ,0.093750,0.750000,0.343750
rtl,T  ,1,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,8,0,8,T  ,-0.093750,0.750000,0.218750
rtl,T  ,2,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,8,0,8,T  ,0.031250,0.750000,0.093750
rtl,T  ,3,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,8,0,8,T  ,-0.031250,0.750000,0.281250
rtl,T  ,4,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,5,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,8,0,8,T  ,-0.093750,0.750000,0.031250
rtl,T  ,6,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,8,0,8,T  ,0.093750,0.750000,0.156250
rtl,T  ,7,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,8,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,8,0,8,T  ,0.093750,0.750000,0.406250
rtl,T  ,9,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,8,0,8,T  ,-0.093750,0.750000,0.218750
rtl,T  ,10,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,11,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,12,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,8,0,8,T  ,0.093750,0.750000,0.281250
rtl,T  ,13,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,8,0,8,T  ,0.093750,0.750000,0.218750
rtl,T  ,14,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,15,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,16,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,8,0,8,T  ,0.093750,0.750000,0.218750
rtl,T  ,17,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,8,0,8,T  ,0.093750,0.750000,0.218750
rtl,T  ,18,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,8,0,8,T  ,0.031250,0.750000,0.156250
rtl,T  ,19,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,0,13,0,13,T  ,0.062500,0.593750,0.187500
rtl,T  ,0,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,0,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,1,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,13,0,13,T  ,-0.062500,0.593750,0.062500
rtl,T  ,2,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,13,0,13,T  ,0.000000,0.593750,0.125000
rtl,T  ,3,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,13,0,13,T  ,0.000000,0.593750,0.187500
rtl,T  ,4,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,13,0,13,T  ,0.187500,0.593750,0.125000
rtl,T  ,5,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,13,0,13,T  ,0.000000,0.593750,0.250000
rtl,T  ,6,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,7,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,13,0,13,T  ,0.062500,0.593750,0.312500
rtl,T  ,8,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,13,0,13,T  ,0.062500,0.593750,0.375000
rtl,T  ,9,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,13,0,13,T  ,0.125000,0.593750,0.187500
rtl,T  ,10,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,11,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,12,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,13,0,13,T  ,0.062500,0.593750,0.437500
rtl,T  ,13,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,13,0,13,T  ,0.187500,0.593750,0.312500
rtl,T  ,14,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,13,0,13,T  ,-0.062500,0.593750,0.187500
rtl,T  ,15,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,13,0,13,T  ,0.062500,0.593750,0.250000
rtl,T  ,16,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,13,0,13,T  ,0.125000,0.593750,0.312500
rtl,T  ,17,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,13,0,13,T  ,0.062500,0.593750,0.062500
rtl,T  ,18,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,13,0,13,T  ,0.125000,0.593750,0.312500
rtl,T  ,19,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,X  ,0,8,0,8,X  ,0.312500,0.343750,0.750000
rtl,X  ,0,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,0,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,1,8,0,8,X  ,0.062500,0.218750,0.750000
rtl,X  ,1,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,1,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,2,8,0,8,X  ,0.250000,0.218750,0.750000
rtl,X  ,2,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,2,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,3,8,0,8,X  ,0.187500,0.156250,0.750000
rtl,X  ,3,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,3,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,4,8,0,8,X  ,0.125000,0.218750,0.750000
rtl,X  ,4,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,4,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,5,8,0,8,X  ,0.187500,0.343750,0.750000
rtl,X  ,5,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,5,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,6,8,0,8,X  ,0.125000,0.156250,0.750000
rtl,X  ,6,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,6,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,7,8,0,8,X  ,0.250000,0.156250,0.750000
rtl,X  ,7,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,7,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,8,8,0,8,X  ,0.125000,0.218750,0.750000
rtl,X  ,8,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,8,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,9,8,0,8,X  ,0.000000,0.156250,0.750000
rtl,X  ,9,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,9,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,10,8,0,8,X  ,0.250000,0.218750,0.750000
rtl,X  ,10,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,10,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,11,8,0,8,X  ,0.125000,0.281250,0.750000
rtl,X  ,11,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,11,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,12,8,0,8,X  ,0.062500,0.093750,0.750000
rtl,X  ,12,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,12,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,13,8,0,8,X  ,0.125000,0.156250,0.750000
rtl,X  ,13,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,13,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,14,8,0,8,X  ,0.187500,0.218750,0.750000
rtl,X  ,14,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,14,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,15,8,0,8,X  ,0.125000,0.281250,0.750000
rtl,X  ,15,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,15,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,16,8,0,8,X  ,0.125000,0.218750,0.750000
rtl,X  ,16,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,16,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,17,8,0,8,X  ,0.062500,0.093750,0.750000
rtl,X  ,17,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,17,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,18,8,0,8,X  ,0.125000,0.156250,0.750000
rtl,X  ,18,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,18,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,19,8,0,8,X  ,0.125000,0.281250,0.750000
rtl,X  ,19,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,19,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,0,13,0,13,X  ,-0.031250,0.062500,0.593750
rtl,X  ,0,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,0,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,1,13,0,13,X  ,0.031250,0.062500,0.593750
rtl,X  ,1,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,1,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,2,13,0,13,X  ,0.281250,0.187500,0.593750
rtl,X  ,2,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,2,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,3,13,0,13,X  ,-0.031250,0.062500,0.593750
rtl,X  ,3,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,3,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,4,13,0,13,X  ,0.093750,0.312500,0.593750
rtl,X  ,4,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,4,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,5,13,0,13,X  ,0.093750,0.125000,0.593750
rtl,X  ,5,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,5,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,6,13,0,13,X  ,0.031250,0.250000,0.593750
rtl,X  ,6,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,6,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,7,13,0,13,X  ,0.218750,0.250000,0.593750
rtl,X  ,7,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,7,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,8,13,0,13,X  ,0.031250,0.250000,0.593750
rtl,X  ,8,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,8,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,9,13,0,13,X  ,0.281250,0.187500,0.593750
rtl,X  ,9,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,9,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,10,13,0,13,X  ,0.156250,0.187500,0.593750
rtl,X  ,10,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,10,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,11,13,0,13,X  ,0.281250,0.062500,0.593750
rtl,X  ,11,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,11,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,12,13,0,13,X  ,0.156250,0.062500,0.593750
rtl,X  ,12,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,12,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,13,13,0,13,X  ,0.156250,0.125000,0.593750
rtl,X  ,13,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,13,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,14,13,0,13,X  ,0.093750,0.187500,0.593750
rtl,X  ,14,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,14,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,15,13,0,13,X  ,0.156250,0.125000,0.593750
rtl,X  ,15,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,15,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,16,13,0,13,X  ,0.218750,0.062500,0.593750
rtl,X  ,16,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,16,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,17,13,0,13,X  ,0.218750,0.187500,0.593750
rtl,X  ,17,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,17,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,18,13,0,13,X  ,0.156250,0.187500,0.593750
rtl,X  ,18,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,18,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,19,13,0,13,X  ,0.093750,0.250000,0.593750
rtl,X  ,19,13,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,19,13,2,0,X  ,0.187500,0.281250,1.000000
rtl,spurious_0,0,-1,0,32,H  ,0.000000,-0.093750,-0.125000
rtl,spurious_0,0,-1,1,38,H  ,-0.187500,-0.656250,-0.625000
rtl,spurious_0,0,-1,2,47,H  ,-0.468750,-0.562500,-0.718750
rtl,spurious_0,0,-1,3,47,H  ,-0.468750,-0.562500,-0.718750
rtl,spurious_1,1,-1,0,31,H  ,0.031250,0.000000,-0.093750
rtl,spurious_1,1,-1,1,38,H  ,-0.187500,-0.281250,-1.000000
rtl,spurious_1,1,-1,2,38,H  ,-0.187500,-0.281250,-1.000000
rtl,spurious_2,2,-1,0,34,X  ,-0.187500,-0.093750,-0.062500
rtl,spurious_2,2,-1,1,42,T  ,-0.718750,-0.312500,-0.468750
rtl,spurious_2,2,-1,2,47,H  ,-0.468750,-0.562500,-0.718750
rtl,spurious_2,2,-1,3,47,H  ,-0.468750,-0.562500,-0.718750
rtl,spurious_3,3,-1,0,30,X  ,-0.062500,-0.093750,0.062500
rtl,spurious_3,3,-1,1,33,X  ,-0.281250,-0.750000,-0.031250
rtl,spurious_3,3,-1,2,33,H  ,-0.031250,-1.000000,-0.281250
rtl,spurious_3,3,-1,3,33,H  ,-0.031250,-1.000000,-0.281250
rtl,spurious_4,4,-1,0,31,H  ,0.031250,-0.125000,-0.093750
rtl,spurious_4,4,-1,1,28,H  ,0.125000,-0.843750,-0.437500
rtl,spurious_4,4,-1,2,33,H  ,-0.031250,-1.000000,-0.281250
rtl,spurious_4,4,-1,3,33,H  ,-0.031250,-1.000000,-0.281250
rtl,spurious_5,5,-1,0,29,H  ,0.093750,0.000000,-0.093750
rtl,spurious_5,5,-1,1,19,H  ,0.406250,-0.250000,-0.406250
rtl,spurious_5,5,-1,2,24,H  ,0.250000,-0.718750,-0.562500
rtl,spurious_5,5,-1,3,24,H  ,0.250000,-0.718750,-0.562500
rtl,spurious_6,6,-1,0,22,H  ,0.312500,0.281250,0.250000
rtl,spurious_6,6,-1,1,9,X  ,0.468750,0.562500,0.718750
rtl,spurious_6,6,-1,2,9,X  ,0.468750,0.562500,0.718750
rtl,spurious_7,7,-1,0,21,T  ,0.125000,0.343750,0.125000
rtl,spurious_7,7,-1,1,0,T  ,0.031250,1.000000,0.281250
rtl,spurious_7,7,-1,2,0,T  ,0.031250,1.000000,0.281250
